CASEID,weight,wdtotal,wdprmor,fmsz27,nbear27,dvfcrn, atinc27 ,wdstcred,wdsloan,wnetwpg,dvphlv2g,hcsex_r,wdstomor,wdstloc,ecpage,ecfexchr,watotpt
1,2450.4593,191500,145000,2,2,1,65525,0,1000,59700,4,2,0,25000,28,0,246700
2,5069.2895,76750,67500,2,0,2,36050,0,0,384000,2,1,0,9250,70,0,460750
3,6207.596,194750,180000,5,2,1,87925,350,0,143450,4,1,0,3900,39,2200,338200
4,139.8457,150500,140000,5,3,1,107025,0,0,447750,3,1,0,10500,46,0,568250
5,242.2337,220000,150000,5,2,1,353550,0,0,1976000,4,1,0,70000,41,0,2141000
6,5091.9419,80000,80000,5,2,3,115675,0,0,561000,3,1,0,0,42,10000,631000
7,3477.7083,59500,50000,2,1,1,76625,0,0,561250,4,1,0,9500,51,0,600750
8,4205.7267,231000,230000,4,1,1,43475,1000,0,179825,2,1,0,0,29,0,410825
9,6715.3125,204000,160000,4,1,3,41500,0,44000,87000,4,1,0,0,35,0,291000
10,3829.2481,115000,115000,5,2,2,89825,0,0,1573400,4,1,0,0,41,0,1688400
11,5829.6596,74750,65000,1,1,1,99700,3000,0,181950,4,1,0,6750,41,4500,257700
12,157.9644,11500,11500,3,2,1,140525,0,0,2041850,4,1,0,0,59,0,2053350
13,5877.9577,193000,190000,4,1,1,28950,3000,0,412250,2,1,0,0,44,0,605750
14,5147.5797,124500,100000,2,2,2,50100,0,0,279000,2,1,0,9500,55,0,383500
15,1700.3961,97375,92500,1,1,2,51400,4000,0,134675,3,1,0,0,52,0,231050
16,5654.8445,128000,110000,2,2,1,67175,2000,0,284500,3,2,0,16000,30,0,403500
17,4406.3508,675000,675000,4,1,1,126000,0,0,379500,4,1,0,0,43,0,1050750
18,2941.351,42450,31000,2,1,1,54325,450,0,187050,3,1,0,11000,45,7250,216000
19,4618.7228,93550,60000,4,3,3,45400,300,19500,209700,2,2,0,6750,49,0,303250
20,3914.304,47000,40000,3,2,1,40875,7000,0,59000,2,2,0,0,46,0,104500
21,2616.3144,100000,80000,4,2,3,46250,20000,0,149101,3,1,0,0,33,0,249101
22,74.9098,411000,390000,4,1,1,204175,0,0,1780000,4,2,0,0,44,23000,2191000
23,4892.1253,267000,190000,4,3,2,93775,0,37000,174700,4,1,0,0,28,0,441700
24,56.1295,552750,500000,3,3,2,158375,5250,0,2058350,4,1,0,47500,43,0,2521100
25,3318.9973,210000,210000,3,2,3,136850,0,0,318000,4,1,0,0,32,7250,504500
26,5340.7095,170000,170000,5,1,2,49300,0,0,367500,4,1,0,0,38,0,540000
27,314.3657,218250,185000,4,2,1,93725,9500,0,156751,3,1,0,15500,38,1750,374001
28,6978.912,220000,210000,4,1,1,33575,0,0,246250,3,2,0,10000,41,0,466250
29,6086.0138,229000,210000,3,2,1,72925,0,0,190000,3,1,0,0,31,0,419000
